record,p,q,gap,step,previous,kind
2,3,5,2,1,,initial
3,7,11,4,2,1,sequential
4,23,29,6,3,2,sequential
5,89,97,8,4,3,sequential
6,113,127,14,7,4,rupture
7,523,541,18,9,7,rupture
8,887,907,20,10,9,sequential
9,1129,1151,22,11,10,sequential
10,1327,1361,34,17,11,rupture
11,9551,9587,36,18,17,sequential
12,15683,15727,44,22,18,rupture
13,19609,19661,52,26,22,rupture
14,31397,31469,72,36,26,rupture
15,155921,156007,86,43,36,rupture
16,360653,360749,96,48,43,rupture
17,370261,370373,112,56,48,rupture
18,492113,492227,114,57,56,sequential
19,1349533,1349651,118,59,57,rupture
20,1357201,1357333,132,66,59,rupture
21,2010733,2010881,148,74,66,rupture
22,4652353,4652507,154,77,74,rupture
23,17051707,17051887,180,90,77,rupture
24,20831323,20831533,210,105,90,rupture
25,47326693,47326913,220,110,105,rupture
26,122164747,122164969,222,111,110,sequential
27,189695659,189695893,234,117,111,rupture
28,191912783,191913031,248,124,117,rupture
29,387096133,387096383,250,125,124,sequential
30,436273009,436273291,282,141,125,rupture
31,1294268491,1294268779,288,144,141,rupture
32,1453168141,1453168433,292,146,144,rupture
33,2300942549,2300942869,320,160,146,rupture
34,3842610773,3842611109,336,168,160,rupture
35,4302407359,4302407713,354,177,168,rupture
36,10726904659,10726905041,382,191,177,rupture
37,20678048297,20678048681,384,192,191,sequential
38,22367084959,22367085353,394,197,192,rupture
39,25056082087,25056082543,456,228,197,rupture
40,42652618343,42652618807,464,232,228,rupture
41,127976334671,127976335139,468,234,232,rupture
42,182226896239,182226896713,474,237,234,rupture
43,241160624143,241160624629,486,243,237,rupture
44,297501075799,297501076289,490,245,243,rupture
45,303371455241,303371455741,500,250,245,rupture
46,304599508537,304599509051,514,257,250,rupture
47,416608695821,416608696337,516,258,257,sequential
48,461690510011,461690510543,532,266,258,rupture
49,614487453523,614487454057,534,267,266,sequential
50,738832927927,738832928467,540,270,267,rupture
51,1346294310749,1346294311331,582,291,270,rupture
52,1408695493609,1408695494197,588,294,291,rupture
53,1968188556461,1968188557063,602,301,294,rupture
54,2614941710599,2614941711251,652,326,301,rupture
55,7177162611713,7177162612387,674,337,326,rupture
56,13829048559701,13829048560417,716,358,337,rupture
57,19581334192423,19581334193189,766,383,358,rupture
58,42842283925351,42842283926129,778,389,383,rupture
59,90874329411493,90874329412297,804,402,389,rupture
60,171231342420521,171231342421327,806,403,402,sequential
61,218209405436543,218209405437449,906,453,403,rupture
62,1189459969825483,1189459969826399,916,458,453,rupture
63,1686994940955803,1686994940956727,924,462,458,rupture
64,1693182318746371,1693182318747503,1132,566,462,rupture
65,43841547845541059,43841547845542243,1184,592,566,rupture
66,55350776431903243,55350776431904441,1198,599,592,rupture
67,80873624627234849,80873624627236069,1220,610,599,rupture
68,203986478517455989,203986478517457213,1224,612,610,rupture
69,218034721194214273,218034721194215521,1248,624,612,rupture
70,305405826521087869,305405826521089141,1272,636,624,rupture
71,352521223451364323,352521223451365651,1328,664,636,rupture
72,401429925999153707,401429925999155063,1356,678,664,rupture
73,418032645936712127,418032645936713497,1370,685,678,rupture
74,804212830686677669,804212830686679111,1442,721,685,rupture
75,1425172824437699411,1425172824437700887,1476,738,721,rupture
76,5733241593241196731,5733241593241198219,1488,744,738,rupture
77,6787988999657777797,6787988999657779307,1510,755,744,rupture
78,15570628755536096243,15570628755536097769,1526,763,755,rupture
79,17678654157568189057,17678654157568190587,1530,765,763,rupture
80,18361375334787046697,18361375334787048247,1550,775,765,rupture
81,18470057946260698231,18470057946260699783,1552,776,775,sequential
82,18571673432051830099,18571673432051831671,1572,786,776,rupture
83,20733746510561442863,20733746510561444539,1676,838,786,rupture
84,68068810283234182907,68068810283234184631,1724,862,838,rupture
85,101412319996363309069,101412319996363310923,1854,927,862,rupture
