event,step,gap,p,q,status,order,gap_count_distance,prime_index_distance,numerical_distance,ratio,log_ratio,later_records,later_ruptures
1,5,10,139,149,recovered,1,4,4,26,1.2300884955752212,0.20708611441835112,0,0
1,6,12,199,211,recovered,2,16,16,86,1.761061946902655,0.5659170060121519,0,0
2,8,16,1831,1847,recovered,1,183,183,1308,3.5009560229445507,1.2530360806095877,3,1
3,12,24,1669,1693,recovered,1,46,46,342,1.2577241899020346,0.22930388932962753,0,0
3,13,26,2477,2503,recovered,2,150,150,1150,1.8666164280331574,0.624127395157152,0,0
3,14,28,2971,2999,recovered,3,212,212,1644,2.2388847023360965,0.8059778411304002,0,0
3,15,30,4297,4327,recovered,4,373,373,2970,3.238131122833459,1.1749963494427877,0,0
3,16,32,5591,5623,recovered,5,521,521,4264,4.21326299924642,1.4382374066944377,0,0
4,19,38,30593,30631,recovered,3,1471,1471,14910,1.9507109609130906,0.6681939014669717,1,1
4,20,40,19333,19373,recovered,2,360,360,3650,1.2327360836574635,0.2092361571980774,0,0
4,21,42,16141,16183,recovered,1,48,48,458,1.0292035962507173,0.02878529563885499,0,0
5,23,46,81463,81509,recovered,3,5745,5745,61854,4.1543678922943545,1.424160284915746,1,1
5,24,48,28229,28277,recovered,1,852,852,8620,1.439594063950227,0.364361173812061,0,0
5,25,50,31907,31957,recovered,2,1202,1202,12298,1.6271609975011474,0.48683677693759647,1,1
6,27,54,35617,35671,recovered,2,408,408,4220,1.13440774596299,0.12611070501905502,0,0
6,28,56,82073,82129,recovered,5,4643,4643,50676,2.6140395579195466,0.9608967481860519,0,0
6,29,58,44293,44351,recovered,4,1227,1227,12896,1.4107398796063317,0.34411430407305316,0,0
6,30,60,43331,43391,recovered,3,1137,1137,11934,1.380100009555053,0.32215596723530704,0,0
6,31,62,34061,34123,recovered,1,259,259,2664,1.0848488709112336,0.08144068780800796,0,0
6,32,64,89689,89753,recovered,6,5303,5303,58292,2.856610504188298,1.0496357836041958,0,0
6,33,66,162143,162209,recovered,8,11477,11477,130746,5.164283211771825,1.641766314968507,1,1
6,34,68,134513,134581,recovered,7,9157,9157,103116,4.284262827658694,1.4549485016977,0,0
6,35,70,173359,173429,recovered,9,12398,12398,141962,5.521514794407109,1.7086522419195715,1,1
7,37,74,404597,404671,recovered,4,19845,19845,248676,2.5948845889905785,0.9535420412514111,2,2
7,38,76,212701,212777,recovered,2,4669,4669,56780,1.364158772711822,0.31053795492844494,0,0
7,39,78,188029,188107,recovered,1,2649,2649,32108,1.205924795248876,0.1872467375288232,0,0
7,40,80,542603,542683,recovered,6,30416,30416,386682,3.4799866599111087,1.247028460420159,3,2
7,41,82,265621,265703,recovered,3,8926,8926,109700,1.7035614189236856,0.53272101201762,0,0
7,42,84,461717,461801,recovered,5,24233,24233,305796,2.961223953155765,1.085602680557118,2,2
8,44,88,544279,544367,recovered,2,14101,14101,183626,1.5091486830831853,0.4115457058020999,2,1
8,45,90,404851,404941,recovered,1,3413,3413,44198,1.1225499302653796,0.11560282095046907,1,1
8,46,92,927869,927961,recovered,3,42519,42519,567216,2.5727472113083767,0.9449742817993114,2,1
8,47,94,1100977,1101071,recovered,4,54985,54985,740324,3.0527321275575137,1.11603696917533,2,1
9,49,98,604073,604171,recovered,2,17869,17869,233812,1.6314788757119978,0.4894868891966507,1,0
9,50,100,396733,396833,recovered,1,2063,2063,26472,1.0714955126248782,0.06905534798514071,0,0
9,51,102,1444309,1444411,recovered,5,78679,78679,1074048,3.9007862021654995,1.3611781231178528,3,2
9,52,104,1388483,1388587,recovered,4,74741,74741,1018222,3.7500114783895686,1.3217589008815198,3,2
9,53,106,1098847,1098953,recovered,3,54088,54088,728586,2.967763280496731,1.087808564879319,1,0
9,54,108,2238823,2238931,recovered,7,133781,133781,1868562,6.0466076632429555,1.7994973979629396,4,3
9,55,110,1468277,1468387,recovered,6,80379,80379,1098016,3.9655189177364076,1.3776367211102156,3,2
10,58,116,5845193,5845309,recovered,1,299364,299364,4495660,4.331270891486166,1.4658610073755929,3,3
11,60,120,1895359,1895479,recovered,2,37647,37647,538158,1.396520485911814,0.3339837757633213,0,0
11,61,122,3117299,3117421,recovered,3,120588,120588,1760098,2.2968587556301534,0.8315424310153463,1,1
11,62,124,6752623,6752747,recovered,6,356812,356812,5395422,4.9754037905954975,1.6045065312557354,2,2
11,63,126,1671781,1671907,recovered,1,22101,22101,314580,1.2317858592795023,0.20846503448377546,0,0
11,64,128,3851459,3851587,recovered,4,169342,169342,2494258,2.8377955807577506,1.043027546812307,1,1
11,65,130,5518687,5518817,recovered,5,277924,277924,4161486,4.066226741654331,1.402715478937687,2,2
12,67,134,6958667,6958801,recovered,4,324340,324340,4947934,3.4607613243528603,1.241488600805409,1,1
12,68,136,6371401,6371537,recovered,3,286923,286923,4360668,3.16869569455517,1.153320050397538,1,1
12,69,138,3826019,3826157,recovered,1,122054,122054,1815286,1.9027981338148825,0.6433255048181417,0,0
12,70,140,7621259,7621399,recovered,5,366221,366221,5610526,3.7902889145401204,1.3324422469382913,1,1
12,71,142,10343761,10343903,recovered,6,536214,536214,8333028,5.14427375489436,1.6378842038113357,1,1
12,72,144,11981443,11981587,recovered,7,637233,637233,9970710,5.958743900856056,1.7848597039754022,1,1
12,73,146,6034247,6034393,recovered,2,265380,265380,4023514,3.00101853403709,1.098951742392871,1,1
13,75,150,13626257,13626407,recovered,2,561461,561461,8973904,2.9288957652181593,1.0746254800557042,0,0
13,76,152,8421251,8421403,recovered,1,240362,240362,3768898,1.8101057679845016,0.5933852789210092,0,0
14,78,156,17983717,17983873,recovered,1,55979,55979,932010,1.054657870909933,0.05321642135732479,0,0
14,79,158,49269581,49269739,recovered,10,1865361,1865361,32217874,2.8894222144445716,1.0610565563387884,2,2
14,80,160,33803689,33803849,recovered,4,983647,983647,16751982,1.982422580918145,0.6843196225250754,1,1
14,81,162,39175217,39175379,recovered,8,1292011,1292011,22123510,2.2974366730556652,0.8317940114535357,1,1
14,82,164,20285099,20285263,recovered,2,193123,193123,3233392,1.18962277501015,0.1736362610798623,0,0
14,83,166,83751121,83751287,recovered,12,3780959,3780959,66699414,4.911597472323446,1.5915992396700473,2,2
14,84,168,37305713,37305881,recovered,5,1184760,1184760,20254006,2.187799321205789,0.7828961624401307,1,1
14,85,170,27915737,27915907,recovered,3,642095,642095,10864030,1.6371227232558008,0.49294026396984586,1,1
14,86,172,38394127,38394299,recovered,7,1247259,1247259,21342420,2.2516295289380706,0.8116541891682432,1,1
14,87,174,52721113,52721287,recovered,11,2059959,2059959,35669406,3.091837843566043,1.1287656854838557,2,2
14,88,176,38089277,38089453,recovered,6,1229719,1229719,21037570,2.2337515534368495,0.8036824829302515,1,1
14,89,178,39389989,39390167,recovered,9,1304367,1304367,22338282,2.3100320102849525,0.8372613817039044,1,1
15,91,182,36271601,36271783,recovered,1,899938,899938,15440278,1.7412048673048754,0.5545773260659069,0,0
15,92,184,79167733,79167917,recovered,4,3303757,3303757,58336410,3.800417909126559,1.3351110367713501,1,1
15,93,186,147684137,147684323,recovered,10,,,126852814,7.089522686581164,1.9586180162159093,2,1
15,94,188,134065829,134066017,recovered,8,,,113234506,6.43578081910592,1.8618731730974587,2,1
15,95,190,142414669,142414859,recovered,9,,,121583346,6.836563813061705,1.9222852388946796,2,1
15,96,192,123454691,123454883,recovered,7,,,102623368,5.926397041608927,1.7794164468409854,2,1
15,97,194,166726367,166726561,recovered,11,,,145895044,8.00363793504618,2.079896180196854,2,1
15,98,196,70396393,70396589,recovered,3,2820064,2820064,49565070,3.3793529580430395,1.2176842586377363,1,1
15,99,198,46006769,46006967,recovered,2,1455511,1455511,25175446,2.2085380270854618,0.7923307704189814,0,0
15,100,200,378043979,378044179,recovered,14,,,357212656,18.147862188109706,2.8985527679944907,4,3
15,101,202,107534587,107534789,recovered,5,,,86703264,5.162158303627667,1.6413547679373286,1,1
15,102,204,112098817,112099021,recovered,6,,,91267494,5.381262486304879,1.6829230095266132,1,1
15,103,206,232423823,232424029,recovered,13,,,211592500,11.157420150414834,2.4121047609117525,4,3
15,104,208,192983851,192984059,recovered,12,,,172152528,9.264118798407571,2.2261487444107195,4,3
16,106,212,215949407,215949619,recovered,2,,,168622714,4.562951546181348,1.5179696830375478,3,2
16,107,214,253878403,253878617,recovered,3,,,206551710,5.364380794576118,1.6797809536857082,3,2
16,108,216,202551667,202551883,recovered,1,,,155224974,4.279860986695183,1.453920529322111,3,2
16,109,218,327966101,327966319,recovered,4,,,280639408,6.929833466285084,1.9358357820739733,3,2
17,112,224,409866323,409866547,recovered,1,,,220170664,2.160652094837869,0.7704100718929915,2,1
17,113,226,519653371,519653597,recovered,2,,,329957712,2.7394057077500125,1.0077410018931132,3,2
17,114,228,895858039,895858267,recovered,5,,,706162380,4.722606957495005,1.552360968627262,3,2
17,115,230,607010093,607010323,recovered,4,,,417314434,3.1999155710779865,1.1631244254194868,3,2
17,116,232,525436489,525436721,recovered,3,,,335740830,2.7698920036962997,1.018808331603931,3,2
18,118,236,216668603,216668839,recovered,1,,,24755820,1.1289951592229268,0.12132799749042042,0,0
18,119,238,673919143,673919381,recovered,5,,,482006360,3.5115906948209905,1.2560691242261592,2,1
18,120,240,391995431,391995671,recovered,3,,,200082648,2.0425707181787884,0.7142091704959949,1,0
18,121,242,367876529,367876771,recovered,2,,,175963746,1.9168943477829719,0.650706349233796,0,0
18,122,244,693103639,693103883,recovered,6,,,501190856,3.611555354288203,1.284138525620489,2,1
18,123,246,555142061,555142307,recovered,4,,,363229278,2.892678915505071,1.0621830331442572,2,1
19,126,252,630045137,630045389,recovered,1,,,193772128,1.4441533718626174,0.36752324803167036,0,0
19,127,254,1202442089,1202442343,recovered,4,,,766169080,2.7561688763560435,1.0138416271652837,0,0
19,128,256,1872851947,1872852203,recovered,13,,,1436578938,4.292843949463763,1.4569494385849524,2,2
19,129,258,1316355323,1316355581,recovered,6,,,880082314,3.017274265986049,1.1043538629016425,1,1
19,130,260,944192807,944193067,recovered,3,,,507919798,2.164224665569444,0.772062175174581,0,0
19,131,262,1649328997,1649329259,recovered,10,,,1213055988,3.7804974476429276,1.3298556008785247,2,2
19,132,264,2357881993,2357882257,recovered,14,,,1921608984,5.404602036703123,1.6872508196483662,3,3
19,133,266,1438779821,1438780087,recovered,8,,,1002506812,3.2978886874021582,1.1932824720220736,1,1
19,134,268,1579306789,1579307057,recovered,9,,,1143033780,3.6199965535800542,1.2864730737875176,2,2
19,135,270,1391048047,1391048317,recovered,7,,,954775038,3.188480649280781,1.1595445178448724,1,1
19,136,272,1851255191,1851255463,recovered,11,,,1414982182,4.243341102497587,1.4453509548101942,2,2
19,137,274,1282463269,1282463543,recovered,5,,,846190260,2.9395888412615507,1.0782697216596424,0,0
19,138,276,649580171,649580447,recovered,2,,,213307162,1.4889304577629738,0.39805804862394945,0,0
19,139,278,4260928601,4260928879,recovered,15,,,3824655592,9.76665645845627,2.27897418214511,4,4
19,140,280,1855047163,1855047443,recovered,12,,,1418774154,4.252032843498691,1.4473971846969749,2,2
20,142,284,1667186459,1667186743,recovered,1,,,372917968,1.2881302995423072,0.25319178680632687,1,1
20,143,286,2842739311,2842739597,recovered,2,,,1548470820,2.1964061790638154,0.7868224696875249,2,2
21,145,290,1948819133,1948819423,recovered,1,,,495650992,1.341083029565262,0.29347751853886467,0,0
22,147,294,5692630189,5692630483,recovered,8,,,3391687640,2.4740427315206297,0.9058535460606759,2,2
