gap,p,first_status,certificate
1,2,F,C
2,3,F,C
4,7,F,C
6,23,F,C
8,89,F,C
10,139,F,C
12,199,F,C
14,113,F,C
16,1831,F,C
18,523,F,C
20,887,F,C
22,1129,F,C
24,1669,F,C
26,2477,F,C
28,2971,F,C
30,4297,F,C
32,5591,F,C
34,1327,F,C
36,9551,F,C
38,30593,F,C
40,19333,F,C
42,16141,F,C
44,15683,F,C
46,81463,F,C
48,28229,F,C
50,31907,F,C
52,19609,F,C
54,35617,F,C
56,82073,F,C
58,44293,F,C
60,43331,F,C
62,34061,F,C
64,89689,F,C
66,162143,F,C
68,134513,F,C
70,173359,F,C
72,31397,F,C
74,404597,F,C
76,212701,F,C
78,188029,F,C
80,542603,F,C
82,265621,F,C
84,461717,F,C
86,155921,F,C
88,544279,F,C
90,404851,F,C
92,927869,F,C
94,1100977,F,C
96,360653,F,C
98,604073,F,C
100,396733,F,C
102,1444309,F,C
104,1388483,F,C
106,1098847,F,C
108,2238823,F,C
110,1468277,F,C
112,370261,F,C
114,492113,F,C
116,5845193,F,C
118,1349533,F,C
120,1895359,F,C
122,3117299,F,C
124,6752623,F,C
126,1671781,F,C
128,3851459,F,C
130,5518687,F,C
132,1357201,F,C
134,6958667,F,C
136,6371401,F,C
138,3826019,F,C
140,7621259,F,C
142,10343761,F,C
144,11981443,F,C
146,6034247,F,C
148,2010733,F,C
150,13626257,F,C
152,8421251,F,C
154,4652353,F,C
156,17983717,F,C
158,49269581,F,C
160,33803689,F,C
162,39175217,F,C
164,20285099,F,C
166,83751121,F,C
168,37305713,F,C
170,27915737,F,C
172,38394127,F,C
174,52721113,F,C
176,38089277,F,C
178,39389989,F,C
180,17051707,F,C
182,36271601,F,C
184,79167733,F,C
186,147684137,F,C
188,134065829,F,C
190,142414669,F,C
192,123454691,F,C
194,166726367,F,C
196,70396393,F,C
198,46006769,F,C
200,378043979,F,C
202,107534587,F,C
204,112098817,F,C
206,232423823,F,C
208,192983851,F,C
210,20831323,F,C
212,215949407,F,C
214,253878403,F,C
216,202551667,F,C
218,327966101,F,C
220,47326693,F,C
222,122164747,F,C
224,409866323,F,C
226,519653371,F,C
228,895858039,F,C
230,607010093,F,C
232,525436489,F,C
234,189695659,F,C
236,216668603,F,C
238,673919143,F,C
240,391995431,F,C
242,367876529,F,C
244,693103639,F,C
246,555142061,F,C
248,191912783,F,C
250,387096133,F,C
252,630045137,F,C
254,1202442089,F,C
256,1872851947,F,C
258,1316355323,F,C
260,944192807,F,C
262,1649328997,F,C
264,2357881993,F,C
266,1438779821,F,C
268,1579306789,F,C
270,1391048047,F,C
272,1851255191,F,C
274,1282463269,F,C
276,649580171,F,C
278,4260928601,F,C
280,1855047163,F,C
282,436273009,F,C
284,1667186459,F,C
286,2842739311,F,C
288,1294268491,F,C
290,1948819133,F,C
292,1453168141,F,C
294,5692630189,F,C
296,5260030511,F,C
298,8650524583,F,C
300,4758958741,F,C
302,6675573497,F,C
304,2433630109,F,C
306,3917587237,F,C
308,5490459101,F,C
310,4024713661,F,C
312,6570018347,F,C
314,8948418749,F,C
316,12109172293,F,C
318,4372999721,F,C
320,2300942549,F,C
322,7961074441,F,C
324,10958687879,F,C
326,5837935373,F,C
328,13086861181,F,C
330,6291356009,F,C
332,5893180121,F,C
334,30827138509,F,C
336,3842610773,F,C
338,22076314313,F,C
340,8605261447,F,C
342,12010745569,F,C
344,19724087267,F,C
346,11291401837,F,C
348,17002876643,F,C
350,16808773277,F,C
352,30750892801,F,C
